State,deaths,,,
New York City,25700,,,
New Jersey,16176,,,
New York,12138,,,
Pennsylvania,11121,,,
Illinois,7612,,,
Michigan,7212,,,
Massachusetts,7020,,,
Texas,6766,,,
California,5976,,,
Connecticut,4954,,,
Florida,4038,,,
Maryland,3744,,,
Arizona,3313,,,
Louisiana,3136,,,
Ohio,2829,,,
Georgia,2209,,,
Indiana,2170,,,
Virginia,2124,,,
Colorado,1556,,,
South Carolina,1496,,,
Mississippi,1423,,,
Alabama,1085,,,
Minnesota,835,,,
District of Columbia,620,,,
Rhode Island,519,,,
North Carolina,487,,,
Delaware,469,,,
Missouri,424,,,
New Mexico,361,,,
Kentucky,274,,,
Washington,267,,,
Tennessee,260,,,
Wisconsin,233,,,
Iowa,189,,,
New Hampshire,143,,,
Arkansas,139,,,
Puerto Rico,134,,,
Nevada,88,,,
Vermont,62,,,
Utah,61,,,
Nebraska,41,,,
Oklahoma,31,,,
Montana,25,,,
North Dakota,19,,,
Kansas,17,,,
Wyoming,14,,,
West Virginia,13,,,
Hawaii,11,,,
Idaho,10,,,
Oregon,5,,,
Maine,3,,,
,,,,
,,,,
,,,,
,,,,
